title,release_date,rating,url,total_gross,genre,budget
Breaker! Breaker!,2020-03-30,NC-17,https://typepad.com/quam/turpis/adipiscing/lorem/vitae/mattis.html?odio=sem&cras=mauris&mi=laoreet&pede=ut&malesuada=rhoncus&in=aliquet&imperdiet=pulvinar&et=sed&commodo=nisl&vulputate=nunc&justo=rhoncus&in=dui&blandit=vel&ultrices=sem&enim=sed&lorem=sagittis&ipsum=nam&dolor=congue&sit=risus&amet=semper&consectetuer=porta&adipiscing=volutpat&elit=quam&proin=pede&interdum=lobortis&mauris=ligula&non=sit&ligula=amet&pellentesque=eleifend&ultrices=pede&phasellus=libero&id=quis&sapien=orci&in=nullam&sapien=molestie&iaculis=nibh&congue=in&vivamus=lectus&metus=pellentesque&arcu=at&adipiscing=nulla&molestie=suspendisse&hendrerit=potenti&at=cras&vulputate=in&vitae=purus&nisl=eu&aenean=magna&lectus=vulputate&pellentesque=luctus&eget=cum&nunc=sociis&donec=natoque&quis=penatibus&orci=et&eget=magnis&orci=dis&vehicula=parturient&condimentum=montes&curabitur=nascetur&in=ridiculus&libero=mus&ut=vivamus&massa=vestibulum&volutpat=sagittis&convallis=sapien&morbi=cum&odio=sociis&odio=natoque&elementum=penatibus&eu=et&interdum=magnis&eu=dis&tincidunt=parturient&in=montes&leo=nascetur&maecenas=ridiculus&pulvinar=mus&lobortis=etiam&est=vel&phasellus=augue&sit=vestibulum&amet=rutrum&erat=rutrum&nulla=neque&tempus=aenean&vivamus=auctor&in=gravida&felis=sem&eu=praesent&sapien=id&cursus=massa&vestibulum=id,8750141,Action|Adventure|Crime,5495317
The Questor Tapes,2019-08-28,PG,http://wordpress.org/tellus.jpg?consequat=dolor&in=vel&consequat=est,4295634,Sci-Fi,2319937
Déjà Vu,2019-11-10,R,https://artisteer.com/nisi/eu/orci.html?odio=rutrum&condimentum=rutrum&id=neque&luctus=aenean&nec=auctor&molestie=gravida&sed=sem&justo=praesent&pellentesque=id&viverra=massa&pede=id&ac=nisl&diam=venenatis&cras=lacinia&pellentesque=aenean&volutpat=sit&dui=amet&maecenas=justo&tristique=morbi&est=ut&et=odio&tempus=cras&semper=mi&est=pede&quam=malesuada&pharetra=in&magna=imperdiet&ac=et&consequat=commodo&metus=vulputate&sapien=justo&ut=in&nunc=blandit&vestibulum=ultrices&ante=enim&ipsum=lorem&primis=ipsum&in=dolor&faucibus=sit&orci=amet&luctus=consectetuer&et=adipiscing&ultrices=elit&posuere=proin&cubilia=interdum&curae=mauris&mauris=non&viverra=ligula&diam=pellentesque&vitae=ultrices&quam=phasellus&suspendisse=id&potenti=sapien&nullam=in&porttitor=sapien&lacus=iaculis&at=congue&turpis=vivamus&donec=metus&posuere=arcu&metus=adipiscing&vitae=molestie&ipsum=hendrerit&aliquam=at&non=vulputate&mauris=vitae&morbi=nisl&non=aenean&lectus=lectus&aliquam=pellentesque&sit=eget&amet=nunc&diam=donec&in=quis&magna=orci&bibendum=eget&imperdiet=orci&nullam=vehicula&orci=condimentum&pede=curabitur&venenatis=in&non=libero&sodales=ut&sed=massa&tincidunt=volutpat&eu=convallis,7716830,Drama|Romance,5984757
Stealing Rembrandt (Rembrandt),2019-07-30,NC-17,http://weather.com/posuere.aspx?lobortis=ligula&sapien=vehicula&sapien=consequat&non=morbi&mi=a&integer=ipsum&ac=integer&neque=a&duis=nibh&bibendum=in&morbi=quis&non=justo&quam=maecenas&nec=rhoncus&dui=aliquam&luctus=lacus&rutrum=morbi&nulla=quis&tellus=tortor&in=id&sagittis=nulla&dui=ultrices&vel=aliquet&nisl=maecenas&duis=leo&ac=odio&nibh=condimentum&fusce=id&lacus=luctus&purus=nec&aliquet=molestie&at=sed&feugiat=justo&non=pellentesque&pretium=viverra&quis=pede&lectus=ac&suspendisse=diam&potenti=cras&in=pellentesque&eleifend=volutpat&quam=dui&a=maecenas&odio=tristique&in=est&hac=et&habitasse=tempus&platea=semper&dictumst=est&maecenas=quam&ut=pharetra&massa=magna&quis=ac&augue=consequat&luctus=metus&tincidunt=sapien&nulla=ut&mollis=nunc&molestie=vestibulum&lorem=ante&quisque=ipsum&ut=primis&erat=in&curabitur=faucibus&gravida=orci&nisi=luctus&at=et&nibh=ultrices&in=posuere&hac=cubilia&habitasse=curae&platea=mauris&dictumst=viverra&aliquam=diam&augue=vitae&quam=quam&sollicitudin=suspendisse&vitae=potenti&consectetuer=nullam&eget=porttitor&rutrum=lacus,5980040,Action|Comedy|Crime,7507212
Halloweentown II: Kalabar's Revenge,2019-07-25,PG,http://tinypic.com/leo/odio/porttitor.aspx?suspendisse=fermentum&accumsan=justo&tortor=nec&quis=condimentum&turpis=neque&sed=sapien&ante=placerat&vivamus=ante&tortor=nulla&duis=justo&mattis=aliquam&egestas=quis&metus=turpis&aenean=eget&fermentum=elit&donec=sodales&ut=scelerisque&mauris=mauris&eget=sit,3612955,Adventure|Children|Comedy|Drama|Fantasy,7251051
Manhattan Baby,2020-04-21,PG-13,https://ftc.gov/pede/ac.json?id=volutpat,5371906,Horror,4017994
From the East (D'Est),2020-05-15,PG-13,https://xrea.com/dictumst/aliquam/augue/quam/sollicitudin/vitae.json?amet=odio&diam=justo&in=sollicitudin&magna=ut&bibendum=suscipit&imperdiet=a&nullam=feugiat&orci=et&pede=eros&venenatis=vestibulum&non=ac&sodales=est&sed=lacinia&tincidunt=nisi&eu=venenatis&felis=tristique&fusce=fusce&posuere=congue&felis=diam&sed=id&lacus=ornare&morbi=imperdiet&sem=sapien&mauris=urna&laoreet=pretium&ut=nisl&rhoncus=ut&aliquet=volutpat&pulvinar=sapien&sed=arcu&nisl=sed&nunc=augue&rhoncus=aliquam&dui=erat&vel=volutpat&sem=in&sed=congue&sagittis=etiam&nam=justo&congue=etiam&risus=pretium&semper=iaculis&porta=justo&volutpat=in&quam=hac,7539139,Documentary,3744157
Vizontele Tuuba,2020-03-12,R,http://mapy.cz/posuere/felis/sed/lacus/morbi/sem/mauris.js?maecenas=congue&pulvinar=diam&lobortis=id&est=ornare&phasellus=imperdiet&sit=sapien&amet=urna&erat=pretium&nulla=nisl&tempus=ut&vivamus=volutpat&in=sapien&felis=arcu&eu=sed&sapien=augue&cursus=aliquam&vestibulum=erat&proin=volutpat&eu=in&mi=congue&nulla=etiam&ac=justo&enim=etiam&in=pretium&tempor=iaculis&turpis=justo&nec=in&euismod=hac&scelerisque=habitasse&quam=platea&turpis=dictumst&adipiscing=etiam&lorem=faucibus&vitae=cursus&mattis=urna&nibh=ut&ligula=tellus&nec=nulla,4410274,Comedy|Drama,1520043
Sex Lives of the Potato Men,2020-02-11,PG-13,https://cloudflare.com/nulla.js?diam=est&neque=lacinia&vestibulum=nisi&eget=venenatis&vulputate=tristique&ut=fusce&ultrices=congue&vel=diam&augue=id&vestibulum=ornare&ante=imperdiet&ipsum=sapien&primis=urna&in=pretium&faucibus=nisl&orci=ut&luctus=volutpat&et=sapien&ultrices=arcu&posuere=sed&cubilia=augue&curae=aliquam&donec=erat&pharetra=volutpat&magna=in&vestibulum=congue&aliquet=etiam&ultrices=justo&erat=etiam&tortor=pretium,6894231,Comedy,7260201
Harry and Walter Go to New York,2020-04-13,PG,https://cnbc.com/pharetra/magna/ac.json?ut=ipsum&nunc=aliquam&vestibulum=non&ante=mauris&ipsum=morbi&primis=non&in=lectus&faucibus=aliquam&orci=sit&luctus=amet&et=diam&ultrices=in&posuere=magna&cubilia=bibendum&curae=imperdiet&mauris=nullam&viverra=orci&diam=pede&vitae=venenatis&quam=non&suspendisse=sodales&potenti=sed&nullam=tincidunt&porttitor=eu&lacus=felis&at=fusce&turpis=posuere&donec=felis&posuere=sed&metus=lacus&vitae=morbi&ipsum=sem&aliquam=mauris&non=laoreet&mauris=ut&morbi=rhoncus&non=aliquet&lectus=pulvinar&aliquam=sed&sit=nisl&amet=nunc&diam=rhoncus&in=dui&magna=vel&bibendum=sem&imperdiet=sed&nullam=sagittis&orci=nam&pede=congue&venenatis=risus&non=semper&sodales=porta&sed=volutpat&tincidunt=quam&eu=pede&felis=lobortis&fusce=ligula&posuere=sit&felis=amet&sed=eleifend&lacus=pede&morbi=libero&sem=quis,5042392,Comedy,9432517
"Quiet, The",2020-05-25,G,http://mlb.com/odio/elementum/eu/interdum.aspx?fusce=vitae&consequat=consectetuer&nulla=eget&nisl=rutrum&nunc=at&nisl=lorem&duis=integer&bibendum=tincidunt&felis=ante&sed=vel&interdum=ipsum&venenatis=praesent&turpis=blandit&enim=lacinia&blandit=erat&mi=vestibulum&in=sed&porttitor=magna&pede=at&justo=nunc&eu=commodo&massa=placerat&donec=praesent&dapibus=blandit&duis=nam&at=nulla&velit=integer&eu=pede&est=justo,9103850,Crime|Drama|Mystery|Thriller,5522512
P.S. Your Cat is Dead,2019-08-27,PG,http://forbes.com/habitasse/platea/dictumst/maecenas.html?dapibus=ipsum&duis=praesent&at=blandit&velit=lacinia&eu=erat&est=vestibulum,6228144,Comedy,5668468
Sudden Fear,2019-11-12,R,https://github.io/semper/rutrum.js?orci=aliquam&eget=sit&orci=amet&vehicula=diam&condimentum=in&curabitur=magna&in=bibendum&libero=imperdiet&ut=nullam&massa=orci&volutpat=pede&convallis=venenatis&morbi=non&odio=sodales&odio=sed&elementum=tincidunt&eu=eu&interdum=felis&eu=fusce&tincidunt=posuere&in=felis&leo=sed&maecenas=lacus&pulvinar=morbi&lobortis=sem&est=mauris&phasellus=laoreet&sit=ut&amet=rhoncus&erat=aliquet&nulla=pulvinar&tempus=sed&vivamus=nisl&in=nunc&felis=rhoncus&eu=dui&sapien=vel&cursus=sem&vestibulum=sed&proin=sagittis&eu=nam&mi=congue&nulla=risus&ac=semper&enim=porta&in=volutpat&tempor=quam&turpis=pede&nec=lobortis&euismod=ligula&scelerisque=sit&quam=amet&turpis=eleifend&adipiscing=pede&lorem=libero&vitae=quis&mattis=orci&nibh=nullam&ligula=molestie&nec=nibh&sem=in&duis=lectus&aliquam=pellentesque&convallis=at&nunc=nulla&proin=suspendisse&at=potenti&turpis=cras&a=in&pede=purus&posuere=eu&nonummy=magna&integer=vulputate&non=luctus&velit=cum&donec=sociis&diam=natoque&neque=penatibus&vestibulum=et,3407200,Film-Noir|Horror|Thriller,1642179
Sleeping with the Enemy,2019-11-06,R,http://theatlantic.com/in/leo/maecenas/pulvinar/lobortis.xml?sapien=suspendisse&placerat=potenti&ante=cras&nulla=in&justo=purus&aliquam=eu&quis=magna&turpis=vulputate&eget=luctus&elit=cum&sodales=sociis&scelerisque=natoque&mauris=penatibus&sit=et&amet=magnis&eros=dis&suspendisse=parturient&accumsan=montes&tortor=nascetur&quis=ridiculus&turpis=mus&sed=vivamus&ante=vestibulum&vivamus=sagittis&tortor=sapien&duis=cum&mattis=sociis&egestas=natoque&metus=penatibus&aenean=et&fermentum=magnis&donec=dis&ut=parturient&mauris=montes&eget=nascetur&massa=ridiculus&tempor=mus&convallis=etiam&nulla=vel&neque=augue&libero=vestibulum&convallis=rutrum&eget=rutrum&eleifend=neque&luctus=aenean&ultricies=auctor&eu=gravida&nibh=sem&quisque=praesent&id=id&justo=massa&sit=id&amet=nisl&sapien=venenatis&dignissim=lacinia&vestibulum=aenean&vestibulum=sit&ante=amet&ipsum=justo&primis=morbi&in=ut&faucibus=odio&orci=cras&luctus=mi&et=pede&ultrices=malesuada&posuere=in&cubilia=imperdiet&curae=et&nulla=commodo&dapibus=vulputate&dolor=justo&vel=in&est=blandit,2063346,Drama|Thriller,5577863
"New Adventures of Pippi Longstocking, The",2020-01-07,NC-17,https://bandcamp.com/ipsum/primis/in/faucibus/orci/luctus.jpg?purus=nisl&aliquet=nunc&at=rhoncus&feugiat=dui&non=vel&pretium=sem&quis=sed&lectus=sagittis&suspendisse=nam&potenti=congue&in=risus&eleifend=semper&quam=porta&a=volutpat&odio=quam&in=pede,9607346,Adventure|Children|Fantasy|Musical,5910718
"Third Wheel, The",2020-05-27,PG-13,http://blogtalkradio.com/adipiscing/elit/proin/risus/praesent/lectus/vestibulum.png?primis=platea&in=dictumst&faucibus=maecenas&orci=ut&luctus=massa&et=quis&ultrices=augue&posuere=luctus&cubilia=tincidunt&curae=nulla&donec=mollis&pharetra=molestie&magna=lorem&vestibulum=quisque&aliquet=ut&ultrices=erat&erat=curabitur&tortor=gravida&sollicitudin=nisi&mi=at&sit=nibh&amet=in&lobortis=hac&sapien=habitasse&sapien=platea&non=dictumst&mi=aliquam&integer=augue&ac=quam&neque=sollicitudin&duis=vitae&bibendum=consectetuer&morbi=eget&non=rutrum&quam=at&nec=lorem&dui=integer&luctus=tincidunt&rutrum=ante&nulla=vel&tellus=ipsum&in=praesent&sagittis=blandit&dui=lacinia&vel=erat&nisl=vestibulum&duis=sed&ac=magna&nibh=at&fusce=nunc&lacus=commodo&purus=placerat&aliquet=praesent&at=blandit&feugiat=nam&non=nulla&pretium=integer&quis=pede&lectus=justo&suspendisse=lacinia&potenti=eget&in=tincidunt&eleifend=eget&quam=tempus&a=vel&odio=pede&in=morbi&hac=porttitor&habitasse=lorem&platea=id&dictumst=ligula&maecenas=suspendisse&ut=ornare&massa=consequat&quis=lectus&augue=in&luctus=est&tincidunt=risus,8673844,Comedy|Romance,1733761
"Brother from Another Planet, The",2019-09-13,PG-13,http://soup.io/eget/massa/tempor/convallis/nulla.jpg?orci=sollicitudin&vehicula=vitae&condimentum=consectetuer&curabitur=eget&in=rutrum&libero=at&ut=lorem&massa=integer&volutpat=tincidunt&convallis=ante&morbi=vel&odio=ipsum&odio=praesent&elementum=blandit&eu=lacinia&interdum=erat&eu=vestibulum&tincidunt=sed&in=magna&leo=at&maecenas=nunc&pulvinar=commodo&lobortis=placerat&est=praesent&phasellus=blandit&sit=nam&amet=nulla&erat=integer&nulla=pede&tempus=justo&vivamus=lacinia&in=eget&felis=tincidunt&eu=eget,9225289,Drama|Sci-Fi,8693009
Surviving Christmas,2019-12-05,PG,https://goo.gl/integer/ac/neque/duis/bibendum/morbi.jsp?vulputate=malesuada&elementum=in&nullam=imperdiet&varius=et,3153398,Comedy,8835012
Wyatt Earp's Revenge,2019-10-07,R,https://yahoo.co.jp/posuere/cubilia.xml?in=turpis&tempus=nec&sit=euismod&amet=scelerisque,3130716,Action|Adventure|Drama,3245633
Persuasion,2020-06-11,NC-17,https://reuters.com/quis/turpis/eget/elit.jpg?pretium=massa&iaculis=quis&justo=augue&in=luctus&hac=tincidunt&habitasse=nulla&platea=mollis&dictumst=molestie&etiam=lorem&faucibus=quisque&cursus=ut&urna=erat&ut=curabitur&tellus=gravida&nulla=nisi&ut=at&erat=nibh&id=in&mauris=hac&vulputate=habitasse&elementum=platea&nullam=dictumst&varius=aliquam&nulla=augue&facilisi=quam&cras=sollicitudin&non=vitae&velit=consectetuer&nec=eget&nisi=rutrum&vulputate=at&nonummy=lorem&maecenas=integer&tincidunt=tincidunt&lacus=ante&at=vel&velit=ipsum&vivamus=praesent&vel=blandit&nulla=lacinia&eget=erat&eros=vestibulum&elementum=sed&pellentesque=magna&quisque=at&porta=nunc&volutpat=commodo&erat=placerat&quisque=praesent&erat=blandit&eros=nam&viverra=nulla&eget=integer&congue=pede&eget=justo&semper=lacinia&rutrum=eget&nulla=tincidunt&nunc=eget&purus=tempus&phasellus=vel&in=pede&felis=morbi&donec=porttitor&semper=lorem&sapien=id&a=ligula&libero=suspendisse&nam=ornare&dui=consequat&proin=lectus&leo=in&odio=est&porttitor=risus&id=auctor&consequat=sed&in=tristique&consequat=in&ut=tempus&nulla=sit&sed=amet&accumsan=sem&felis=fusce&ut=consequat&at=nulla,8252130,Drama|Romance,1488246
"Duchess of Langeais, The (a.k.a. Don't Touch the Axe) (Ne touchez pas la hache)",2019-10-06,PG-13,http://paginegialle.it/semper/sapien/a/libero/nam/dui/proin.js?sapien=sapien&sapien=dignissim&non=vestibulum&mi=vestibulum&integer=ante&ac=ipsum&neque=primis&duis=in&bibendum=faucibus&morbi=orci&non=luctus&quam=et&nec=ultrices&dui=posuere&luctus=cubilia&rutrum=curae&nulla=nulla&tellus=dapibus&in=dolor&sagittis=vel&dui=est&vel=donec&nisl=odio&duis=justo&ac=sollicitudin&nibh=ut&fusce=suscipit&lacus=a&purus=feugiat&aliquet=et&at=eros&feugiat=vestibulum&non=ac&pretium=est&quis=lacinia&lectus=nisi&suspendisse=venenatis&potenti=tristique&in=fusce&eleifend=congue&quam=diam&a=id&odio=ornare&in=imperdiet&hac=sapien&habitasse=urna&platea=pretium&dictumst=nisl&maecenas=ut&ut=volutpat&massa=sapien&quis=arcu&augue=sed&luctus=augue&tincidunt=aliquam&nulla=erat&mollis=volutpat&molestie=in&lorem=congue&quisque=etiam&ut=justo&erat=etiam&curabitur=pretium&gravida=iaculis&nisi=justo&at=in&nibh=hac&in=habitasse&hac=platea&habitasse=dictumst&platea=etiam&dictumst=faucibus&aliquam=cursus&augue=urna&quam=ut&sollicitudin=tellus&vitae=nulla&consectetuer=ut&eget=erat&rutrum=id&at=mauris&lorem=vulputate&integer=elementum&tincidunt=nullam&ante=varius&vel=nulla&ipsum=facilisi&praesent=cras&blandit=non&lacinia=velit&erat=nec&vestibulum=nisi&sed=vulputate&magna=nonummy&at=maecenas&nunc=tincidunt&commodo=lacus&placerat=at,4251113,Drama|Romance,9485253
Four Eyed Monsters,2020-02-10,PG-13,https://chicagotribune.com/a/feugiat/et/eros/vestibulum/ac/est.png?donec=lorem&pharetra=ipsum&magna=dolor&vestibulum=sit&aliquet=amet&ultrices=consectetuer&erat=adipiscing&tortor=elit&sollicitudin=proin&mi=interdum&sit=mauris&amet=non&lobortis=ligula&sapien=pellentesque&sapien=ultrices&non=phasellus&mi=id&integer=sapien&ac=in&neque=sapien&duis=iaculis&bibendum=congue&morbi=vivamus&non=metus&quam=arcu&nec=adipiscing&dui=molestie&luctus=hendrerit&rutrum=at&nulla=vulputate&tellus=vitae&in=nisl&sagittis=aenean&dui=lectus&vel=pellentesque&nisl=eget&duis=nunc&ac=donec&nibh=quis&fusce=orci&lacus=eget&purus=orci&aliquet=vehicula&at=condimentum&feugiat=curabitur&non=in&pretium=libero&quis=ut&lectus=massa&suspendisse=volutpat&potenti=convallis&in=morbi&eleifend=odio&quam=odio&a=elementum,4324244,Comedy|Drama|Fantasy|Romance,3035900
